title,vote_average,vote_count
The Hunger Games: Mockingjay - Part 1,6.6,5584
The Da Vinci Code,6.5,2704
Rio 2,6.3,978
X2,6.8,3506
Fast Five,7.1,2438
Sherlock Holmes: A Game of Shadows,7.0,3886
Clash of the Titans,5.6,2233
Total Recall,7.1,1710
The 13th Warrior,6.4,510
The Bourne Legacy,6.0,2651
Batman & Robin,4.2,1418
How the Grinch Stole Christmas,6.2,1386
The Day After Tomorrow,6.2,2392
Mission: Impossible II,5.9,1928
The Perfect Storm,6.2,597
Fantastic 4: Rise of the Silver Surfer,5.4,2589
Life of Pi,7.2,5797
Ghost Rider,5.2,1712
Jason Bourne,5.9,2341
Charlie's Angels: Full Throttle,5.2,914
Prometheus,6.3,5080
Stuart Little 2,5.4,613
Elysium,6.4,3439
The Chronicles of Riddick,6.3,1570
RoboCop,5.7,2342
Speed Racer,5.7,354
How Do You Know,4.9,223
Knight and Day,5.9,1547
Oblivion,6.4,4800
Star Wars: Episode III - Revenge of the Sith,7.1,4116
Star Wars: Episode II - Attack of the Clones,6.4,3992
"Monsters, Inc.",7.5,5996
The Wolverine,6.3,4053
Star Wars: Episode I - The Phantom Menace,6.3,4432
The Croods,6.8,2399
Asterix at the Olympic Games,5.0,471
Windtalkers,5.8,341
The Huntsman: Winter's War,6.0,1523
Teenage Mutant Ninja Turtles,5.8,2636
Gravity,7.3,5751
Dante's Peak,5.7,428
Teenage Mutant Ninja Turtles: Out of the Shadows,5.8,963
Fantastic Four,4.4,2278
Night at the Museum,6.3,2862
San Andreas,6.0,2968
Tomorrow Never Dies,6.0,925
The Patriot,6.8,1099
Ocean's Twelve,6.4,2124
Mr. & Mrs. Smith,6.5,2965
Insurgent,6.2,3829
The Aviator,7.0,1489
Gulliver's Travels,4.9,621
The Green Hornet,5.5,1251
300: Rise of an Empire,6.1,2397
The Smurfs,5.5,1179
Home on the Range,5.7,389
Allegiant,5.9,1998
Real Steel,6.6,2692
The Smurfs 2,5.5,695
Speed 2: Cruise Control,4.1,434
Ender's Game,6.6,2303
Live Free or Die Hard,6.4,2089
The Lord of the Rings: The Fellowship of the Ring,8.0,8705
Around the World in 80 Days,5.7,672
Ali,6.7,447
The Cat in the Hat,4.9,366
"I, Robot",6.7,3793
Kingdom of Heaven,6.6,1157
Stuart Little,5.8,959
The Princess and the Frog,6.7,1247
The Martian,7.6,7268
The Island,6.5,1770
Town & Country,3.7,16
Gone in Sixty Seconds,6.1,1485
Gladiator,7.9,5439
Minority Report,7.1,2608
Harry Potter and the Chamber of Secrets,7.4,5815
Casino Royale,7.3,3855
Planet of the Apes,5.6,1243
Terminator 2: Judgment Day,7.7,4185
Public Enemies,6.5,1344
American Gangster,7.4,1502
True Lies,6.8,1116
The Taking of Pelham 1 2 3,6.2,954
Little Fockers,5.4,1060
The Other Guys,6.1,1383
Eraser,5.6,543
Django Unchained,7.8,10099
The Hunchback of Notre Dame,6.8,1129
The Emperor's New Groove,7.2,1490
The Expendables 2,6.1,2896
National Treasure,6.4,1926
Eragon,4.9,967
Where the Wild Things Are,6.4,572
Epic,6.4,1121
The Tourist,6.0,1699
End of Days,5.5,482
Blood Diamond,7.3,2281
The Wolf of Wall Street,7.9,6571
Batman Forever,5.2,1498
Starship Troopers,6.7,1560
Cloud Atlas,6.6,2977
Legend of the Guardians: The Owls of Ga'Hoole,6.5,703
Catwoman,4.2,808
Hercules,5.6,1680
Treasure Planet,7.2,948
Land of the Lost,5.3,381
The Expendables 3,6.1,1795
Point Break,5.5,783
Son of the Mask,3.6,338
In the Heart of the Sea,6.5,1276
The Adventures of Pluto Nash,4.4,142
Green Zone,6.4,717
The Peanuts Movie,6.5,604
The Spanish Prisoner,7.1,73
The Mummy Returns,6.0,2206
Gangs of New York,7.1,1910
The Flowers of War,7.1,187
Surf's Up,5.9,601
The Stepford Wives,5.4,334
Black Hawk Down,7.2,1811
The Campaign,5.6,578
The Fifth Element,7.3,3885
Sex and the City 2,5.4,426
The Road to El Dorado,7.0,858
Ice Age: Continental Drift,6.2,2672
Cinderella,6.7,2374
The Lovely Bones,6.6,1065
Finding Nemo,7.6,6122
The Lord of the Rings: The Return of the King,8.1,8064
The Lord of the Rings: The Two Towers,8.0,7487
Seventh Son,5.2,957
Lara Croft: Tomb Raider,5.7,2192
Transcendence,5.9,2295
Jurassic Park III,5.7,2077
Rise of the Planet of the Apes,7.0,4347
The Spiderwick Chronicles,6.3,572
A Good Day to Die Hard,5.2,3493
The Alamo,5.8,106
The Incredibles,7.4,5152
Cutthroat Island,5.7,136
Percy Jackson & the Olympians: The Lightning Thief,6.0,2010
Men in Black,6.9,4412
Toy Story 2,7.3,3806
Unstoppable,6.3,1165
Rush Hour 2,6.4,1054
What Lies Beneath,6.3,488
Cloudy with a Chance of Meatballs,6.5,1747
Ice Age: Dawn of the Dinosaurs,6.5,2271
The Secret Life of Walter Mitty,7.0,3144
Charlie's Angels,5.6,1232
The Departed,7.9,4339
Mulan,7.6,2008
Tropic Thunder,6.5,1667
The Girl with the Dragon Tattoo,7.2,2434
Die Hard: With a Vengeance,6.9,2066
Sherlock Holmes,7.0,5766
Ben-Hur,5.3,621
Atlantis: The Lost Empire,6.7,1224
Alvin and the Chipmunks: The Road Chip,5.8,428
Valkyrie,6.7,1173
You Don't Mess with the Zohan,5.5,1048
Pixels,5.6,2513
A.I. Artificial Intelligence,6.8,1974
The Haunted Mansion,5.2,466
Contact,7.2,1308
Hollow Man,5.6,634
The Interpreter,6.2,392
Percy Jackson: Sea of Monsters,5.9,1648
Lara Croft Tomb Raider: The Cradle of Life,5.5,1418
Now You See Me 2,6.7,3235
The Saint,5.9,302
Spy Game,6.8,579
Mission to Mars,5.7,369
Rio,6.5,2166
Bicentennial Man,6.9,963
Volcano,5.2,376
The Devil's Own,5.9,290
K-19: The Widowmaker,6.1,264
Conan the Barbarian,6.6,650
Cinderella Man,7.3,616
The Nutcracker: The Untold Story,5.4,50
Seabiscuit,6.7,216
Twister,6.1,950
Cast Away,7.5,3218
Happy Feet,5.9,1410
The Bourne Supremacy,7.2,2825
Air Force One,6.2,840
Ocean's Eleven,7.2,3783
The Three Musketeers,5.6,924
Hotel Transylvania,6.8,2566
Enchanted,6.6,1449
Safe House,6.3,1345
102 Dalmatians,5.1,313
Tower Heist,5.8,932
The Holiday,6.7,1225
Enemy of the State,6.7,1240
It's Complicated,6.2,360
Ocean's Thirteen,6.5,1999
Open Season,6.1,656
Divergent,6.9,4663
Enemy at the Gates,7.2,999
The Rundown,6.4,514
Last Action Hero,6.1,712
Memoirs of a Geisha,7.3,652
The Fast and the Furious: Tokyo Drift,6.1,1705
Arthur Christmas,6.7,333
Meet Joe Black,6.9,1147
Collateral Damage,5.5,427
All That Jazz,7.3,85
Mirror Mirror,5.5,1114
Scott Pilgrim vs. the World,7.2,2126
The Core,5.4,516
Nutty Professor II: The Klumps,4.7,332
Scooby-Doo,5.4,820
Dredd,6.6,1940
Click,6.0,2104
Creepshow,6.7,226
Cats & Dogs 2 : The Revenge of Kitty Galore,4.9,119
Jumper,5.9,1799
Hellboy II: The Golden Army,6.5,1527
Zodiac,7.3,2023
The 6th Day,5.7,595
Bruce Almighty,6.4,3012
The Expendables,6.0,2926
Mission: Impossible,6.7,2631
The Hunger Games,6.9,9455
The Hangover Part II,6.2,3739
Batman Returns,6.6,1673
Over the Hedge,6.3,1074
Lilo & Stitch,7.1,1314
Charlotte's Web,5.8,288
Deep Impact,5.9,855
RED 2,6.4,1526
The Longest Yard,6.2,785
Alvin and the Chipmunks: Chipwrecked,5.4,484
Grown Ups 2,5.8,1155
Get Smart,6.0,1051
Something's Gotta Give,6.3,410
Shutter Island,7.8,6336
Four Christmases,5.3,331
Robots,6.0,1333
Face/Off,6.8,1583
Bedtime Stories,5.9,901
Road to Perdition,7.3,1077
Just Go with It,6.3,1543
Con Air,6.5,1270
Eagle Eye,6.3,1018
Cold Mountain,6.7,533
The Book of Eli,6.6,2164
Flubber,5.3,695
The Haunting,5.2,369
Space Jam,6.5,1288
The Pink Panther,5.6,550
The Day the Earth Stood Still,5.2,1043
Conspiracy Theory,6.5,431
Fury,7.4,3946
Six Days Seven Nights,5.6,332
Yogi Bear,5.2,220
Spirit: Stallion of the Cimarron,7.4,831
Zookeeper,5.3,498
Lost in Space,5.0,388
The Manchurian Candidate,6.2,393
Déjà Vu,8.0,1
Hotel Transylvania 2,6.7,1497
Fantasia 2000,7.0,292
The Time Machine,5.8,631
Mighty Joe Young,5.9,208
Swordfish,6.1,932
The Legend of Zorro,5.9,893
What Dreams May Come,6.8,577
Little Nicky,5.2,438
The Brothers Grimm,5.6,818
Mars Attacks!,6.1,1509
Evolution,6.4,47
The Edge,6.7,349
Surrogates,5.9,1195
Thirteen Days,6.9,189
Daylight,5.8,378
Walking With Dinosaurs,5.2,133
Battlefield Earth,3.0,255
Looney Tunes: Back in Action,5.6,297
Nine,5.1,165
Timeline,5.4,318
The Postman,6.1,299
Babe: Pig in the City,5.2,305
The Last Witch Hunter,5.7,1316
Red Planet,5.4,267
Arthur and the Invisibles,6.0,639
Oceans,7.3,111
A Sound of Thunder,4.8,111
Pompeii,5.2,1267
Top Cat Begins,5.3,9
A Beautiful Mind,7.7,3009
The Lion King,8.0,5376
Journey 2: The Mysterious Island,5.8,1030
Cloudy with a Chance of Meatballs 2,6.4,915
Red Dragon,6.7,1115
Hidalgo,6.5,318
Jack and Jill,4.1,604
2 Fast 2 Furious,6.2,2028
The Little Prince,7.6,756
The Invasion,5.7,359
The Adventures of Rocky & Bullwinkle,3.9,87
The Secret Life of Pets,5.9,3462
The League of Extraordinary Gentlemen,5.7,1155
Despicable Me 2,7.0,4637
Independence Day,6.7,3260
The Lost World: Jurassic Park,6.2,2487
Madagascar,6.6,3237
Children of Men,7.4,2071
X-Men,6.8,4097
Wanted,6.4,2528
The Rock,6.9,1456
Ice Age: The Meltdown,6.5,2951
50 First Dates,6.6,2105
Hairspray,6.5,709
Exorcist: The Beginning,4.7,183
Inspector Gadget,4.3,318
Now You See Me,7.3,5487
Grown Ups,6.0,1705
The Terminal,7.0,1910
Hotel for Dogs,5.7,202
Vertical Limit,5.9,283
Charlie Wilson's War,6.5,338
Shark Tale,5.8,1557
Dreamgirls,6.6,284
Be Cool,5.4,292
Munich,6.9,696
Tears of the Sun,6.4,573
Killers,5.7,772
The Man from U.N.C.L.E.,7.1,2265
Spanglish,5.8,369
Monster House,6.3,874
Bandits,6.2,302
First Knight,5.9,311
Anna and the King,6.4,197
Immortals,5.7,880
Hostage,6.2,512
Titan A.E.,6.3,313
Hollywood Homicide,5.0,166
Soldier,6.1,221
Carriers,5.8,282
Monkeybone,4.3,78
Flight of the Phoenix,5.7,276
Unbreakable,6.9,1946
Minions,6.4,4571
Sucker Punch,5.9,1623
Snake Eyes,5.8,327
Sphere,5.8,476
The Angry Birds Movie,5.9,1022
Fool's Gold,5.4,444
Funny People,5.7,390
The Kingdom,6.5,513
Talladega Nights: The Ballad of Ricky Bobby,6.2,491
Dr. Dolittle 2,4.9,410
Braveheart,7.7,3336
Jarhead,6.6,765
The Simpsons Movie,6.9,2264
The Majestic,6.6,188
Driven,4.5,179
Two Brothers,6.9,180
The Village,6.2,1071
Doctor Dolittle,5.4,686
Signs,6.4,1599
Shrek 2,6.7,2988
Cars,6.6,3877
Runaway Bride,5.7,455
xXx,5.8,1424
The SpongeBob Movie: Sponge Out of Water,5.8,719
Ransom,6.4,470
Inglourious Basterds,7.9,6430
Hook,6.6,1532
Die Hard 2,6.6,1896
S.W.A.T.,5.8,770
Vanilla Sky,6.5,1078
Lady in the Water,5.3,409
AVP: Alien vs. Predator,5.5,1217
Alvin and the Chipmunks: The Squeakquel,5.4,666
We Were Soldiers,6.7,521
Olympus Has Fallen,6.2,2981
Star Trek: Insurrection,6.3,391
Battle: Los Angeles,5.5,1448
Big Fish,7.6,1994
Wolf,6.0,216
War Horse,7.0,992
The Monuments Men,5.8,1523
The Abyss,7.1,808
Wall Street: Money Never Sleeps,5.8,493
Dracula Untold,6.2,2389
The Siege,6.0,352
Stardust,7.1,1184
Seven Years in Tibet,7.0,630
The Dilemma,5.2,304
Bad Company,5.4,228
Doom,5.0,609
I Spy,5.2,269
Underworld: Awakening,6.1,1862
Rock of Ages,6.0,385
Hart's War,5.9,241
Killer Elite,6.1,695
Rollerball,3.4,106
Ballistic: Ecks vs. Sever,4.3,97
Hard Rain,5.5,179
Osmosis Jones,5.9,228
Legends of Oz: Dorothy's Return,5.9,43
Blackhat,5.1,826
Sky Captain and the World of Tomorrow,5.7,439
Basic Instinct 2,4.6,180
Escape Plan,6.7,1659
The Legend of Hercules,4.4,533
The Sum of All Fears,5.9,437
The Twilight Saga: Eclipse,5.8,2301
The Score,6.7,423
Despicable Me,7.1,6478
Money Train,5.4,222
Ted 2,6.2,2463
Agora,6.9,395
Mystery Men,5.7,250
Hall Pass,5.4,611
The Insider,7.3,481
The Finest Hours,6.3,588
Body of Lies,6.5,895
Dinner for Schmucks,5.5,531
Abraham Lincoln: Vampire Hunter,5.5,1269
Entrapment,6.0,602
The X Files,6.6,488
The Last Legion,5.0,207
Saving Private Ryan,7.9,5048
Need for Speed,6.1,1520
What Women Want,6.1,992
Ice Age,7.1,3857
Dreamcatcher,5.3,567
Lincoln,6.7,1429
The Matrix,7.9,8907
Apollo 13,7.3,1599
The Santa Clause 2,5.5,297
Les Misérables,7.1,1884
You've Got Mail,6.3,838
Step Brothers,6.5,1062
The Mask of Zorro,6.3,1183
Due Date,6.2,1685
Unbroken,7.3,1400
Space Cowboys,6.3,403
Cliffhanger,6.1,588
Broken Arrow,5.7,453
The Kid,6.0,238
World Trade Center,5.9,447
Mona Lisa Smile,6.5,393
The Dictator,5.9,1743
Eyes Wide Shut,7.1,1234
Annie,6.0,466
Focus,6.7,2542
This Means War,5.9,1389
Blade: Trinity,5.7,1252
Red Dawn,6.4,215
Primary Colors,6.1,94
Resident Evil: Retribution,5.6,1600
Death Race,6.0,1175
The Long Kiss Goodnight,6.5,314
Proof of Life,6.0,208
Zathura: A Space Adventure,6.1,779
Fight Club,8.3,9413
We Are Marshall,6.7,186
Hudson Hawk,5.4,269
Lucky Numbers,4.9,52
"I, Frankenstein",5.0,687
Oliver Twist,6.7,274
Elektra,4.8,575
Sin City: A Dame to Kill For,6.3,1286
Random Hearts,5.3,63
Everest,6.7,1772
Perfume: The Story of a Murderer,7.1,1165
Austin Powers in Goldmember,5.9,979
Astro Boy,6.1,409
Jurassic Park,7.6,4856
Wyatt Earp,6.5,202
Clear and Present Danger,6.4,386
Dragon Blade,5.9,145
Little Man,5.3,261
U-571,6.1,340
The American President,6.5,195
The Love Guru,4.3,242
3000 Miles to Graceland,5.8,178
The Hateful Eight,7.6,4274
Blades of Glory,5.9,569
Hop,5.5,331
300,7.0,4997
Meet the Fockers,6.1,1373
Marley & Me,6.9,1343
The Green Mile,8.2,4048
Wild Hogs,5.6,648
Chicken Little,5.6,944
Gone Girl,7.9,5862
The Bourne Identity,7.3,3583
GoldenEye,6.6,1174
The General's Daughter,6.1,205
The Truman Show,7.8,4537
The Prince of Egypt,6.8,817
Daddy Day Care,5.6,506
2 Guns,6.6,1589
Cats & Dogs,5.0,352
The Italian Job,6.6,1919
Two Weeks Notice,5.9,487
Antz,6.0,1272
Couples Retreat,5.3,588
Days of Thunder,5.9,353
Cheaper by the Dozen 2,5.7,526
Maze Runner: The Scorch Trials,6.4,3040
Eat Pray Love,5.8,636
The Family Man,6.5,521
RED,6.6,2808
Any Given Sunday,6.8,422
The Horse Whisperer,6.7,292
Collateral,7.0,1451
The Scorpion King,5.3,779
Ladder 49,6.2,207
Jack Reacher,6.3,2998
Deep Blue Sea,5.6,604
This Is It,6.7,247
Contagion,6.2,1325
Kangaroo Jack,4.3,203
Coraline,7.3,1386
The Happening,4.9,950
Man on Fire,7.3,1553
The Shaggy Dog,4.5,137
Starsky & Hutch,5.6,644
Jingle All the Way,5.5,575
Hellboy,6.5,2225
A Civil Action,6.1,109
ParaNorman,6.7,789
The Jackal,6.1,527
Paycheck,5.9,581
Up Close & Personal,5.9,50
The Tale of Despereaux,5.8,258
The Tuxedo,5.3,483
Under Siege 2: Dark Territory,5.6,210
Jack Ryan: Shadow Recruit,5.9,1173
Joy,6.4,1581
London Has Fallen,5.8,1621
Alien: Resurrection,5.9,1365
Shooter,6.9,1462
The Boxtrolls,6.6,668
Practical Magic,6.3,338
The Lego Movie,7.5,3070
Miss Congeniality 2: Armed and Fabulous,5.3,425
Reign of Fire,6.0,669
Gangster Squad,6.2,1778
Year One,4.6,524
Invictus,7.0,1125
State of Play,6.7,484
Duplicity,5.7,201
My Favorite Martian,5.1,80
The Sentinel,5.8,225
Planet 51,5.6,556
Star Trek: Nemesis,6.1,479
Intolerable Cruelty,5.8,391
Trouble with the Curve,6.6,366
Edge of Darkness,6.2,487
The Relic,5.8,130
Analyze That,5.7,380
Righteous Kill,5.9,375
Mercury Rising,6.0,368
The Soloist,6.6,234
The Legend of Bagger Vance,6.3,251
Almost Famous,7.4,797
Garfield: A Tail of Two Kitties,5.1,464
xXx: State of the Union,4.7,549
Priest,5.4,692
Sinbad: Legend of the Seven Seas,6.6,372
Event Horizon,6.5,742
Dragonfly,6.1,204
The Black Dahlia,5.7,287
Flyboys,6.3,271
The Last Castle,7.0,285
Supernova,4.9,109
Winter's Tale,6.0,487
The Mortal Instruments: City of Bones,6.2,1602
Meet Dave,5.0,371
Dark Water,5.3,274
Edtv,5.7,166
Inkheart,6.0,592
The Spirit,4.7,320
Mortdecai,5.4,1055
In the Name of the King: A Dungeon Siege Tale,4.1,224
Beyond Borders,6.7,110
The Monkey King 2,6.0,24
The Great Raid,6.8,91
Deadpool,7.4,10995
Holy Man,4.9,111
American Sniper,7.4,4469
Goosebumps,6.2,995
Just Like Heaven,6.5,579
The Flintstones in Viva Rock Vegas,4.4,134
Rambo III,5.7,690
Leatherheads,5.7,130
The Ridiculous 6,4.9,388
Did You Hear About the Morgans?,5.1,276
The Internship,6.1,1658
Resident Evil: Afterlife,5.8,1363
Red Tails,5.9,178
The Devil's Advocate,7.2,1374
That's My Boy,5.5,453
DragonHeart,6.4,535
After the Sunset,6.0,226
Ghost Rider: Spirit of Vengeance,4.7,1135
Captain Corelli's Mandolin,5.5,145
The Pacifier,5.8,842
Walking Tall,6.0,381
Forrest Gump,8.2,7927
Alvin and the Chipmunks,5.5,1177
Meet the Parents,6.6,1698
Pocahontas,6.7,1457
Superman,6.9,1022
The Nutty Professor,5.4,702
Hitch,6.4,1665
George of the Jungle,5.4,496
American Wedding,6.0,1129
Captain Phillips,7.6,2454
Date Night,5.9,1122
Casper,6.0,1019
The Equalizer,7.1,2954
Maid in Manhattan,5.6,485
Crimson Tide,7.0,498
The Pursuit of Happyness,7.7,2525
Flightplan,6.1,772
Disclosure,5.9,210
City of Angels,6.4,529
Kill Bill: Vol. 1,7.7,4949
Bowfinger,6.0,254
Kill Bill: Vol. 2,7.6,3948
Tango & Cash,6.1,458
Death Becomes Her,6.3,636
Shanghai Noon,6.2,735
Executive Decision,5.8,256
Mr. Popper's Penguins,5.7,751
The Forbidden Kingdom,6.3,461
Free Birds,5.7,254
Alien³,6.2,1633
Evita,5.9,120
Ronin,6.7,658
The Ghost and the Darkness,6.4,236
Paddington,7.0,883
The Watch,5.3,881
The Hunted,6.0,189
Instinct,6.2,146
Stuck on You,5.1,188
Semi-Pro,5.4,251
The Pirates! In an Adventure with Scientists!,6.4,374
Changeling,7.3,1131
Chain Reaction,5.3,284
The Fan,5.7,194
The Phantom of the Opera,7.0,438
Elizabeth: The Golden Age,6.6,303
Æon Flux,5.4,703
Gods and Generals,6.1,48
Turbulence,5.2,62
Imagine That,5.7,134
Muppets Most Wanted,6.2,316
Thunderbirds,4.2,91
Burlesque,6.9,573
A Very Long Engagement,7.1,346
Lolita,7.3,395
D-Tox,5.3,123
Blade II,6.2,1528
Seven Pounds,7.5,2039
Bullet to the Head,5.2,481
The Godfather: Part III,7.1,1546
Elizabethtown,6.1,327
"You, Me and Dupree",5.4,407
Superman II,6.5,629
Gigli,3.5,104
All the King's Men,5.7,95
Shaft,5.5,308
Anastasia,7.4,1432
Moulin Rouge!,7.4,1300
Domestic Disturbance,5.4,113
Black Mass,6.3,1242
Flags of Our Fathers,6.7,526
Law Abiding Citizen,7.2,1486
Grindhouse,6.8,459
Beloved,5.9,26
Lucky You,5.4,81
Catch Me If You Can,7.7,3795
Zero Dark Thirty,6.7,1702
The Break-Up,5.6,832
Mamma Mia!,6.4,1386
Valentine's Day,5.7,1013
The Dukes of Hazzard,5.1,316
The Thin Red Line,7.2,771
The Change-Up,5.9,736
Man on the Moon,6.9,435
Casino,7.8,1307
From Paris with Love,6.1,675
Bulletproof Monk,5.1,278
"Me, Myself & Irene",6.1,927
Barnyard,5.3,225
Deck the Halls,5.1,109
The Twilight Saga: New Moon,5.6,2436
Shrek,7.3,4056
The Adjustment Bureau,6.5,1652
